series,ADF Statistic,p-value,Used Lags,Observations,Critical Value 1%,Critical Value 5%,Critical Value 10%
Original hourly Appliances,-8.948888280256893,8.83375312959424e-15,29,3260,-3.432357502010421,-2.862426994644342,-2.567242166152283
First-differenced Appliances,-16.952574397050483,9.43719919692613e-30,29,3259,-3.4323581184837426,-2.862427266935068,-2.5672423111140947
Seasonally differenced Appliances,-13.593416808868861,2.0162731913546765e-25,25,3240,-3.4323699038367206,-2.8624324724087438,-2.5672450823997868
